Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Keywords
000-268-237-593-113,Combined Process of Chlorination Roasting and Acid Leaching of Lead and Silver from Lead Cake.,2026,journal article,"Materials (Basel, Switzerland)",MDPI AG,Switzerland,Biserka Lucheva; Peter Iliev; Nadezhda Kazakova,"This study evaluates an integrated approach for recovering lead and silver from lead cake through chlorination roasting followed by acid leaching. The lead cake originates from sulfuric acid leaching of zinc ferrite residues obtained during the hydrometallurgical processing of zinc calcine. The effects of roasting temperature, lead cake-to-NaCl mass ratio, and roasting duration on metal recovery were systematically examined to determine optimal process conditions. Based on the experimental results, roasting at 550 °C for 1.5 h with a lead cake-to-NaCl mass ratio of 1:3, followed by leaching in 1 M HCl, was selected as a representative and sufficiently effective condition for the combined process. Under these conditions, nearly complete dissolution of Pb and Ag was achieved, reducing their contents in the final solid residue to 0.90% and 0.0027%, respectively. Compared to direct chloride leaching, the combined process provided higher extraction efficiencies (Pb 98.67%, Ag 98.09%) and a lower final residue mass (34% vs. 45%). The roasting step enables the solid-state conversion of PbSO<sub>4</sub> into highly soluble chloride phases (PbCl<sub>2</sub> and Pb(OH)Cl), while ZnFe<sub>2</sub>O<sub>4</sub>, Fe<sub>2</sub>O<sub>3</sub> and SiO<sub>2</sub> remain stable and form the inert matrix of the residue. Acid leaching at a lower solid-to-liquid ratio (1:10) ensures near-complete dissolution of Pb and Ag, whereas aqueous leaching at a high ratio (1:100) results in incomplete Pb removal. The compliance leaching test (EN 12457-2) confirmed that the residue produced after the optimized two-step treatment meets the EU criteria for inert waste. Overall, the proposed combined process enhances Pb and Ag recovery, minimizes environmental risk, and offers a technically robust and sustainable route for treating lead-containing industrial residues.",19,1,acid leaching; chlorination roasting; lead cake
000-327-018-837-082,"Two new species of Euscorpius (Scorpiones: Euscorpiidae) from Bulgaria, Serbia, and Greece",2026,dataset,The Catalogue of Life,,,Victor Fet; Matthew R. Graham; Michael M. Webber; Gergin Blagoev,,,,
000-338-901-308-378,Occurrence Download,2026,dataset,Global Biodiversity Information Facility,,,GBIF.org User,"A dataset containing 5793745 species occurrences available in GBIF matching the query: { ""and"" : [ ""TaxonKey is one of (Ericaceae, Empetraceae, Pyrolaceae, Monotropaceae)"", ""Country is one of (Albania, Andorra, Austria, Bosnia and Herzegovina, Belgium, Bulgaria, Belarus, Switzerland, Cyprus, Czechia, Germany, Denmark, Estonia, Spain, Finland, France, United Kingdom of Great Britain and Northern Ireland, Greece, Croatia, Hungary, Ireland, Iceland, Italy, Liechtenstein, Lithuania, Luxembourg, Latvia, Monaco, Moldova, Republic of, Montenegro, North Macedonia, Malta, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Russian Federation, Sweden, Slovenia, Slovakia, San Marino, Türkiye, Ukraine, Holy See, Kosovo)"", ""HasCoordinate is true"", ""OccurrenceStatus is Present"", { ""not"" : { ""EstablishmentMeans"" : [ ""is one of (INTRODUCED, INVASIVE, CULTIVATED, MANAGED)"" ] } } ] } The dataset includes 5793745 records from 2885 constituent datasets; see https://api.gbif.org/v1/occurrence/download/0025685-260208012135463/datasets/export for details. Data from some individual datasets included in this download may be licensed under less restrictive terms.",,,
000-444-464-368-194,Denial of access to sexual and reproductive health services in Europe: an analysis of cases from the European court of human rights (1976-2023).,2026,journal article,Reproductive health,Springer Science and Business Media LLC,United Kingdom,Elisa Groff; Florian Steger,"In June 2021, the European Parliament agreed to ensure universal and adequate access to high-quality sexual and reproductive health (SRH) care and to promote SRH education in all European Member States, in accordance with the European Convention on Human Rights. The aim of this research was to systematically pursue a qualitative analysis of applications concerning the denial of access to SRH services which have been brought before the European Court of Human Rights (ECtHR) up to December 2023 from an ethical perspective. A systematic search of judgments by the ECtHR was conducted in the HUDOC database using a combination of keywords resulting in nine thematic search categories. A thematic analysis approach was then used to describe and interpret the judgments through the lens of intersectionality and according to the four bioethical principles of “autonomy”, “beneficence”, “non-maleficence” and “justice”. N = 23 judgments from n = 15 EU Member States of the Council of Europe that met the research objectives were included in the descriptive analysis. These confirmed the violation of Articles 3, 5, 8 and 10 of the Convention. Violations of SRH services are indicators of social and public health policies that increase the vulnerability of marginalised groups. Our analysis shows that the discourse on access to SRH needs to shift from reproductive choices being unavailable to marginalised people to reproductive rights. Given the complexity of scientific advances in biomedicine and in response to evolving reproductive health needs, SRH services in Europe need to be monitored by the EU to secure equitable and non-discriminatory access.",23,1,Abortion; Access to sexual and reproductive health; Medical ethics; Reproductive coercion; Reproductive justice; Sexual rights
000-601-743-028-48X,"Potamophylax rilaensis sp. nov. (Trichoptera: Limnephilidae), a new species of the Potamophylax winneguthi Species Cluster from Bulgaria",2026,dataset,The Catalogue of Life,,,Halil Ibrahimi; Janos Oláh; Tibor Kovács,,,,
000-854-416-487-369,Occurrence Download,2026,dataset,Global Biodiversity Information Facility,,,GBIF.org User,"A dataset containing 16231 species occurrences available in GBIF matching the query: { ""and"" : [ ""TaxonKey is Maculinea teleius"", ""Country is one of (Albania, Austria, Bosnia and Herzegovina, Belgium, Bulgaria, Belarus, Switzerland, Cyprus, Czechia, Germany, Denmark, Estonia, Spain, Finland, France, United Kingdom of Great Britain and Northern Ireland, Greece, Croatia, Hungary, Ireland, Italy, Lithuania, Luxembourg, Latvia, Moldova, Republic of, Montenegro, North Macedonia, Malta, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Sweden, Slovenia, Slovakia, Türkiye, Ukraine, Kosovo)"", ""HasCoordinate is true"" ] } The dataset includes 16231 records from 164 constituent datasets; see https://api.gbif.org/v1/occurrence/download/0016494-260208012135463/datasets/export for details. Data from some individual datasets included in this download may be licensed under less restrictive terms.",,,
000-932-655-989-893,Advanced polyethersulfone membranes with silver-loaded zeolite for simultaneous heavy metal removal and antibacterial protection,2026,journal article,Colloids and Surfaces A: Physicochemical and Engineering Aspects,Elsevier BV,Netherlands,Ioana-Antonia Iftimie; Diana Serbezeanu; Tăchiţă Vlad-Bubulac; Alexandra Bargan; Daniela Rusu; Anca Filimon; Mihaela Homocianu; Gabriela Lisa; Cristina Mihaela Rîmbu; Yuri Kalvachev,,738,,
001-068-111-033-444,Sheep shearing,2026,other,The British Museum,,,Marina Miron,"Documentation in the barn on May 6 (St. George's Day, patron saint of Bessarabian Bulgarians and of sheep farming) about the process of shearing sheep and collecting wool as raw material for the production of woolen yarn for weaving. Video recording of the sheep shearing process by Petar Taukci, recorded by Viorel Miron - the assistant to the principal investigator.",,,
001-226-903-426-757,Effect of Environmental Temperature and Humidity on the Detection of Alcohol Denaturants Using Metal-Phenolic Film-Coated Quartz Crystal Microbalances,2026,journal article,IEEE Sensors Journal,Institute of Electrical and Electronics Engineers (IEEE),United States,Karekin D. Esmeryan; Yuliyan Lazarov; Gabriela V. Kotseva,"The illicit alcohol trading is a serious global problem, because about 25–40 % of all spirits distributed worldwide are adulterated, causing dozens of deaths and hundreds of hospitalizations amongst the adolescents and young adults. The battle against the counterfeit alcohol consumption can be won by the incorporation of a miniature metal-phenolic film-coated quartz crystal microbalance (MPF-QCM) into a wireless portable electronic device for point-of-use analysis of fermented beverages, but the impact of psychrometric conditions on the detection of denatured alcohol is still unclear. We address this lack of knowledge by analyzing the resonance response of two nominally identical 5 MHz MPF-QCMs towards alterations in the temperature and humidity, while in such conditions examining their detection efficiency to the saturated vapor of methanol, ethanol, isopropanol or mixtures of these alcohols. The implementation of more than 180 experimental cycles reveals that the as-prepared MPF-QCMs are not substantially affected by the ambient atmosphere and even in highly-humid environments, a resolution of 3.6 mg/L methanol is reachable, which is close to the dose inflicting blindness (3.2 mg). The sensors are also capable of differentiating sub-milliliter and milliliter volumes of two toxic denaturants in ethanol (resolution of ~0.13 mL/100 mL) based on changes in the volatility of the background solution, generating proportional resonance frequency upshifts with respect to the baseline and shortened reaction times. This outcome confirms the strong potential of our technology for repeatable and reliable real-world assessment of the quality of various alcoholic drinks, helping to prevent the intoxication with counterfeit alcohol.",26,1,
001-231-352-953-257,New data on rotifers (Rotifera) from European waterbodies,2026,journal article,Biodiversity Data Journal,Pensoft Publishers,,Nataliia Iakovenko; Dzmitry Lukashanets; Jolanta Ejsmont-Karabin; Irena Bielańska-Grajner; Eleonora Ovander; Diego Fontaneto; Veselka Tsavkova; Luchezar Pehlivanov; Karel Janko,"<jats:p>Rotifers (Rotifera) are microscopic pseudocoelomate animals that represent one of the key components of plankton, periphyton and benthos communities in aquatic ecosystems. As members of the zooplankton, they play an important role as primary consumers of phyto- and bacterioplankton, serve as a food source for fish larvae and act as indicators of water quality. Although rotifers have been studied in Europe for over three centuries, they remain an important subject of zoological research, as their ecological characteristics and biodiversity in several European countries are still insufficiently understood. This is particularly true for bdelloid rotifers, whose study is complicated by the impossibility of reliable identification in fixed material. The availability of georeferenced data on rotifer occurrences, coupled with environmental parameters, is of great importance for such studies, yet such data on the GBIF platform are not complete for many aquatic rotifer species.</jats:p>;                   <jats:p>We present new georeferenced data on rotifers in all major types of European freshwater and brackish inland waterbodies: lotic (rivers, streams, brooks, waterfalls, canals), lentic (lakes, ponds, swamps, bogs, marshes, puddles, cryoconite holes and other temporary waterbodies) and transitional (estuaries). The littoral zone of the Black Sea and the southern coast of the English Channel (La Manche) are represented as marine habitats in this dataset. Twenty-five protected areas were surveyed during this study.</jats:p>;                   <jats:p>;                     The survey was conducted from 1976 to 2021. In total, we added to GBIF 4,862 new occurrences of Phylum Rotifera, including the classes Eurotatoria (subclasses Monogononta and Bdelloidea) and Pararotatoria. The dataset substantially expands the information on the distribution of still inadequately studied bdelloid rotifers (Bdelloidea) available through GBIF (1,514 new occurrences are added). We focused our study on aquatic communities that have received less attention than planktonic ones, such as periphytic, benthic and psammic rotifers and commensals on aquatic invertebrates. We also added new data on rotifers in waterfalls (6 species), temporary waterbodies (153 taxa of species rank) and tree hollows (5 species). Three species amongst those recorded are new to the fauna of Ukraine:;                     <jats:italic>Lecane elsa</jats:italic>;                     Hauer, 1931,;                     <jats:italic>Lindia pallida</jats:italic>;                     Harring &amp; Myers, 1922,;                     <jats:italic>Paradicranophorus aculeatus</jats:italic>;                     (Neizvestnova-Zhadina, 1935).;                   </jats:p>",14,,
